Key,Source,Context,Changes,English,Italian
plantedMushroom2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Mushroom (Growing),[FFA927]Selezione avanzata[-] Fungo (in crescita)
plantedMushroom3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Mushroom,[FFA927]Selezione avanzata[-] Fungo
plantedYucca1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Yucca (Seed),[9DEF5D]Selezione[-] Yucca (Seme)
plantedYucca2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Yucca (Growing),[9DEF5D]Selezione[-] Yucca (in crescita)
plantedYucca3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Yucca,[9DEF5D]Selezione[-] Yucca
plantedYucca1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Yucca (Seed),[FFA927]Selezione avanzata[-] Yucca (seme)
plantedYucca2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Yucca (Growing),[FFA927]Selezione avanzata[-] Yucca (in crescita)
plantedYucca3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Yucca,[FFA927]Selezione avanzata[-] Yucca
plantedCotton1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Cotton (Seed),[9DEF5D]Selezione[-] Cotone (Seme)
plantedCotton2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Cotton (Growing),[9DEF5D]Selezione[-] Cotone (in crescita)
plantedCotton3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Cotton,[9DEF5D]Selezione[-] Cotone
plantedCotton1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Cotton (Seed),[FFA927]Selezione avanzata[-] Cotone (Seme)
plantedCotton2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Cotton (Growing),[FFA927]Selezione avanzata[-] Cotone (in crescita)
plantedCotton3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Cotton,[FFA927]Selezione avanzata[-] Cotone
plantedCoffee1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Coffee (Seed),[9DEF5D]Selezione[-] Caffè (Seme)
plantedCoffee2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Coffee (Growing),[9DEF5D]Selezione[-] Caffè (in crescita)
plantedCoffee3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Coffee,[9DEF5D]Selezione[-] Caffè
plantedCoffee1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Coffee (Seed),[FFA927]Selezione avanzata[-] Caffè (Seme)
plantedCoffee2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Coffee (Growing),[FFA927]Selezione avanzata[-] Caffè (in crescita)
plantedCoffee3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Coffee,[FFA927]Selezione avanzata[-] Caffè
plantedGoldenrod1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod (Seed),[9DEF5D]Selezione[-] Verga d'oro (Seme)
plantedGoldenrod2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod (Growing),[9DEF5D]Selezione[-] Verga d'oro (in crescita)
plantedGoldenrod3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod,[9DEF5D]Selezione[-] Verga d'oro
plantedGoldenrod1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod (Seed),[FFA927]Selezione avanzata[-] Verga d'oro (seme)
plantedGoldenrod2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod (Growing),[FFA927]Selezione avanzata[-] Verga d'oro (in crescita)
plantedGoldenrod3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod,[FFA927]Selezione avanzata[-] Verga d'oro
plantedAloe1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Aloe (Seed),[9DEF5D]Selezione[-] Aloe (Seme)
plantedAloe2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Aloe (Growing),[9DEF5D]Selezione[-] Aloe (in crescita)
plantedAloe3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Aloe,[9DEF5D]Selezione[-] Aloe
plantedAloe1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Aloe (Seed),[FFA927]Selezione avanzata[-] Aloe (Seme)
plantedAloe2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Aloe (Growing),[FFA927]Selezione avanzata[-] Aloe (in crescita)
plantedAloe3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Aloe,[FFA927]Selezione avanzata[-] Aloe
plantedBlueberry1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Blueberry (Seed),[9DEF5D]Selezione[-] Mirtillo (Seme)
plantedBlueberry2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Blueberry (Growing),[9DEF5D]Selezione[-] Mirtillo (in crescita)
plantedBlueberry3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Blueberry,[9DEF5D]Selezione[-] Mirtillo
plantedBlueberry1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry (Seed),[FFA927]Selezione avanzata[-] Mirtillo (seme)
plantedBlueberry2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry (Growing),[FFA927]Selezione avanzata[-] Mirtillo (in crescita)
plantedBlueberry3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry,[FFA927]Selezione avanzata[-] Mirtillo
plantedPotato1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Potato (Seed),[9DEF5D]Selezione[-] Patata (Seme)
plantedPotato2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Potato (Growing),[9DEF5D]Selezione[-] Patata (in crescita)
plantedPotato3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Potato,[9DEF5D]Selezione[-] Patata
plantedPotato1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Potato (Seed),[FFA927]Selezione avanzata[-] Patata (seme)
plantedPotato2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Potato (Growing),[FFA927]Selezione avanzata[-] Patata (in crescita)
plantedPotato3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Potato,[FFA927]Selezione avanzata[-] Patata
plantedChrysanthemum1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum (Seed),[9DEF5D]Selezione[-] Crisantemo (Seme)
plantedChrysanthemum2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum (Growing),[9DEF5D]Selezione[-] Crisantemo (in crescita)
plantedChrysanthemum3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum,[9DEF5D]Selezione[-] Crisantemo
plantedChrysanthemum1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum (Seed),[FFA927]Selezione avanzata[-] Crisantemo (seme)
plantedChrysanthemum2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum (Growing),[FFA927]Selezione avanzata[-] Crisantemo (in crescita)
plantedChrysanthemum3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum,[FFA927]Selezione avanzata[-] Crisantemo
plantedCorn1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Corn (Seed),[9DEF5D]Selezione[-] Mais (Seme)
plantedCorn2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Corn (Growing),[9DEF5D]Selezione[-] Mais (in crescita)
plantedCorn3HarvestSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Corn,[9DEF5D]Selezione[-] Mais
plantedCorn1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Corn (Seed),[FFA927]Selezione avanzata[-] Mais (Seme)
plantedCorn2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Corn (Growing),[FFA927]Selezione avanzata[-] Mais (in crescita)
plantedCorn3HarvestSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Corn,[FFA927]Selezione avanzata[-] Mais
plantedHop1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Hop (Seed),[9DEF5D]Selezione[-] Hop (Seme)
plantedHop2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Hop (Growing),[9DEF5D]Selezione[-] Hop (Crescita)
plantedHop3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Hop,[9DEF5D]Selezione[-] Salta
plantedHop1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Hop (Seed),[FFA927]Selezione avanzata[-] Luppolo (Seme)
plantedHop2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Hop (Growing),[FFA927]Selezione avanzata[-] Luppolo (in crescita)
plantedHop3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Hop,[FFA927]Selezione avanzata[-] Hop
plantedPumpkin1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin (Seed),[9DEF5D]Selezione[-] Zucca (Seme)
plantedPumpkin2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin (Growing),[9DEF5D]Selezione[-] Zucca (in crescita)
plantedPumpkin3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin,[9DEF5D]Selezione[-] Zucca
plantedPumpkin1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin (Seed),[FFA927]Selezione avanzata[-] Zucca (Seme)
plantedPumpkin2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin (Growing),[FFA927]Selezione avanzata[-] Zucca (in crescita)
plantedPumpkin3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin,[FFA927]Selezione avanzata[-] Zucca
elevatorDoor_Powered,blocks,Block,,Elevator Door (Powered),Porta dell'ascensore (alimentata)
elevatorDoorDouble_Powered,blocks,Block,,Elevator Door Double (Powered),Porta dell'ascensore doppia (alimentata)
elevatorDoor_PoweredDesc,blocks,Block,,Connect to a power source to activate this door.\n\nPress & hold [action:local:Activate][action:permanent:Activate] to lock or set a combination. Repair with Forged Steel and a construction tool.,Connettiti a una fonte di alimentazione per attivare questa porta.\n\nPremi e tieni premuto [action:local:Activate][action:permanent:Activate] per bloccare o impostare una combinazione. Ripara con acciaio forgiato e uno strumento di costruzione.
buffShockedCritDesc,buffs,Buff,,This is truly a more powerful stun.,Questo è davvero uno stordimento più potente.
buffShockedCritTooltip,buffs,Buff,,This is truly a more powerful stun.,Questo è davvero uno stordimento più potente.
PillCaseStorage,blocks,Container,,[DECEA3]BONUS[-] Medical cabinet,[DECEA3]BONUS[-] Armadietto medico
PillCaseStorageDesc,blocks,Container,,This storage is convenient for storing all important medical supplies.\n\n[DECEA3]Significantly increases the recovery effect of a medical bed if it is placed within a 5m radius of this storage.[-],Questo contenitore è comodo per conservare tutte le forniture mediche importanti.\n\n[DECEA3]Aumenta significativamente l'effetto di recupero di un letto medico se viene posizionato entro un raggio di 5m da questo contenitore.[-]

===
=== Z_PassiveSkills ===
===


perkSiphoningStrikesRank1LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 4 HP.,Il tuo primo assaggio di combattimento ti dà energia.\nLe uccisioni corpo a corpo hanno una probabilità del [DECEA3]{cvar(.HealthStealChance:0)}%[-] di conferire 4 HP.
perkSiphoningStrikesRank2LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 8 HP.,Il tuo primo assaggio di combattimento ti dà energia.\nLe uccisioni corpo a corpo hanno una probabilità del [DECEA3]{cvar(.HealthStealChance:0)}%[-] di conferire 8 HP.
perkSiphoningStrikesRank3LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 12 HP.,Il tuo primo assaggio di combattimento ti dà energia.\nLe uccisioni corpo a corpo hanno una probabilità del [DECEA3]{cvar(.HealthStealChance:0)}%[-] di conferire 12 HP.
perkSiphoningStrikesRank4LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 16 HP.,Il tuo primo assaggio di combattimento ti dà energia.\nLe uccisioni corpo a corpo hanno una probabilità del [DECEA3]{cvar(.HealthStealChance:0)}%[-] di conferire 16 HP.
perkSiphoningStrikesRank5LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 20 HP.,Il tuo primo assaggio di combattimento ti dà energia.\nLe uccisioni corpo a corpo hanno una probabilità del [DECEA3]{cvar(.HealthStealChance:0)}%[-] di conferire 20 HP.
attpasssiveskills,progression,Attribute,,Passive Skills,Abilità passive
attpasssiveskillsDesc,progression,Attribute,,No skill points required here. Complete passive skill requirements to level them up,Nessun punto abilità richiesto qui. Completa i requisiti delle abilità passive per farli salire di livello
0000 ADAPTATION 0000,,,,,
skillAdaptationName,progression,Skills,,Adaptation,Adattamento
perkGameTimerName,progression,perk,,Total time,Tempo totale
perkGameTimerDesc,progression,perk,,"It's not easy to get used to this heat. But it's only a matter of time.\nThe more time you spend in the desert, the easier it is for you to survive there.\n\n[DECEA3]Now: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]","Non è facile abituarsi a questo caldo. Ma è solo questione di tempo.\nPiù tempo trascorri nel deserto, più facile sarà per te sopravvivere lì.\n\n[DECEA3]Ora: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]"
Game_LevelUP,UI,Tooltip,,Increased passive skill: Total time,Abilità passiva aumentata: tempo totale
reqPerkGame01,progression,Attribute,,{cvar(TimerGame_HH:0)} of 2,{cvar(TimerGame_HH:0)} di 2
reqPerkGame02,progression,Attribute,,{cvar(TimerGame_HH:0)} of 4,{cvar(TimerGame_HH:0)} di 4
reqPerkGame03,progression,Attribute,,{cvar(TimerGame_HH:0)} of 8,{cvar(TimerGame_HH:0)} di 8
reqPerkGame04,progression,Attribute,,{cvar(TimerGame_HH:0)} of 12,{cvar(TimerGame_HH:0)} di 12
reqPerkGame05,progression,Attribute,,{cvar(TimerGame_HH:0)} of 18,{cvar(TimerGame_HH:0)} di 18
reqPerkGame06,progression,Attribute,,{cvar(TimerGame_HH:0)} of 24,{cvar(TimerGame_HH:0)} di 24
reqPerkGame07,progression,Attribute,,{cvar(TimerGame_HH:0)} of 32,{cvar(TimerGame_HH:0)} di 32
reqPerkGame08,progression,Attribute,,{cvar(TimerGame_HH:0)} of 40,{cvar(TimerGame_HH:0)} di 40
reqPerkGame09,progression,Attribute,,{cvar(TimerGame_HH:0)} of 50,{cvar(TimerGame_HH:0)} di 50
reqPerkGame10,progression,Attribute,,{cvar(TimerGame_HH:0)} of 60,{cvar(TimerGame_HH:0)} di 60
perkGameTimerRank1Desc,progression,Skills,,Survive in the game for 2 hours,Sopravvivi nel gioco per 2 ore
perkGameTimerRank1LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]1%[-], Loot bonus increased by [DECEA3]1%[-], Mobility increased by [DECEA3]1.5%[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]1%[-], Bonus bottino aumentato del [DECEA3]1%[-], Mobilità aumentata del [DECEA3]1,5%[-]"
perkGameTimerRank2Desc,progression,Skills,,Survive in the game for 4 hours,Sopravvivi nel gioco per 4 ore
perkGameTimerRank2LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]2%[-], Loot bonus increased by [DECEA3]2%[-], Mobility increased by [DECEA3]3%[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]2%[-], Bonus bottino aumentato del [DECEA3]2%[-], Mobilità aumentata del [DECEA3]3%[-]"
perkGameTimerRank3Desc,progression,Skills,,Survive in the game for 8 hours,Sopravvivi nel gioco per 8 ore
perkGameTimerRank3LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]3%[-], Loot bonus increased by [DECEA3]3%[-], Mobility increased by [DECEA3]4.5%[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nL'esperienza acquisita nel gioco è aumentata del [DECEA3]3%[-], Bonus bottino aumentato del [DECEA3]3%[-], Mobilità aumentata del [DECEA3]4,5%[-]"
perkGameTimerRank4Desc,progression,Skills,,Survive in the game for 12 hours,Sopravvivi nel gioco per 12 ore
perkGameTimerRank4LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]4%[-], Loot bonus increased by [DECEA3]4%[-], Mobility increased by [DECEA3]6%[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]4%[-], Bonus bottino aumentato del [DECEA3]4%[-], Mobilità aumentata del [DECEA3]6%[-]"
perkGameTimerRank5Desc,progression,Skills,,Survive in the game for 18 hours,Sopravvivi nel gioco per 18 ore
perkGameTimerRank5LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]5%[-], Loot bonus increased by [DECEA3]5%[-], Mobility increased by [DECEA3]7.5%[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]5%[-], Bonus bottino aumentato del [DECEA3]5%[-], Mobilità aumentata del [DECEA3]7,5%[-]"
perkGameTimerRank6Desc,progression,Skills,,Survive in the game for 24 hours,Sopravvivi nel gioco per 24 ore
perkGameTimerRank6LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]6%[-], Loot bonus increased by [DECEA3]6%[-], Mobility increased by [DECEA3]9%[-], Health and stamina increased by [DECEA3]10[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]6%[-], Bonus bottino aumentato del [DECEA3]6%[-], Mobilità aumentata del [DECEA3]9%[-], Salute e resistenza aumentate del [DECEA3]10[-]"
perkGameTimerRank7Desc,progression,Skills,,Survive in the game for 32 hours,Sopravvivi nel gioco per 32 ore
perkGameTimerRank7LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]7%[-], Loot bonus increased by [DECEA3]7%[-], Mobility increased by [DECEA3]10.5%[-], Health and stamina increased by [DECEA3]20[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]7%[-], Bonus bottino aumentato del [DECEA3]7%[-], Mobilità aumentata del [DECEA3]10,5%[-], Salute e resistenza aumentate del [DECEA3]20[-]"
perkGameTimerRank8Desc,progression,Skills,,Survive in the game for 40 hours,Sopravvivi nel gioco per 40 ore
perkGameTimerRank8LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]8%[-], Loot bonus increased by [DECEA3]8%[-], Mobility increased by [DECEA3]12%[-], Health and stamina increased by [DECEA3]30[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]8%[-], Bonus bottino aumentato del [DECEA3]8%[-], Mobilità aumentata del [DECEA3]12%[-], Salute e resistenza aumentate del [DECEA3]30[-]"
perkGameTimerRank9Desc,progression,Skills,,Survive in the game for 50 hours,Sopravvivi nel gioco per 50 ore
perkGameTimerRank9LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]9%[-], Loot bonus increased by [DECEA3]9%[-], Mobility increased by [DECEA3]13.5%[-], Health and stamina increased by [DECEA3]40[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]9%[-], Bonus bottino aumentato del [DECEA3]9%[-], Mobilità aumentata del [DECEA3]13,5%[-], Salute e resistenza aumentate del [DECEA3]40[-]"
perkGameTimerRank10Desc,progression,Skills,,Survive in the game for 60 hours,Sopravvivi nel gioco per 60 ore
perkGameTimerRank10LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]10%[-], Loot bonus increased by [DECEA3]10%[-], Mobility increased by [DECEA3]15%[-], Health and stamina increased by [DECEA3]50[-]\n\n[DECEA3]BONUS ABILITY[-] [FFB800]I KNOW WHAT TO LOOK FOR[-]\nEvery 5000 enemies killed increases the loot bonus by 50.\n[DECEA3]Kills so far: {cvar(.GameTimerKillCounter:0)} - Current bonus: {cvar(.GameTimerLootBonus:0)}[-]","[DECEA3]BONUS DURANTE IL GIOCO:[-]\nEsperienza acquisita nel gioco aumentata del [DECEA3]10%[-], Bonus bottino aumentato del [DECEA3]10%[-], Mobilità aumentata del [DECEA3]15%[-], Salute e resistenza aumentate del [DECEA3]50[-]\n\n[DECEA3]ABILITÀ BONUS[-] [FFB800]SO COSA CERCARE[-]\nOgni 5000 nemici uccisi aumenta il bonus bottino di 50.\n[DECEA3]Uccisioni finora: {cvar(.GameTimerKillCounter:0)} - Bonus attuale: {cvar(.GameTimerLootBonus:0)}[-]"
perkForestTimerName,progression,perk,,Forest,Foresta
perkForestTimerDesc,progression,perk,,"You also need to know how to survive in the forest. But it's just a matter of time.\nThe more time you spend in the forest, the easier it is for you to survive there.\n\n[DECEA3]Now: {cvar(TimerForest_HH:0)}h {cvar(TimerForest_MM:0)}m[-]","Devi anche sapere come sopravvivere nella foresta. Ma è solo questione di tempo.\nPiù tempo trascorri nella foresta, più facile sarà per te sopravvivere lì.\n\n[DECEA3]Ora: {cvar(TimerForest_HH:0)}h {cvar(TimerForest_MM:0)}m[-]"
Forest_LevelUP,UI,Tooltip,,Increased passive skill: Forest,Abilità passiva aumentata: Foresta
reqPerkForest01,progression,Attribute,,{cvar(TimerForest_HH:0)} of 1,{cvar(TimerForest_HH:0)} di 1
reqPerkForest02,progression,Attribute,,{cvar(TimerForest_HH:0)} of 2,{cvar(TimerForest_HH:0)} di 2
reqPerkForest03,progression,Attribute,,{cvar(TimerForest_HH:0)} of 4,{cvar(TimerForest_HH:0)} di 4
reqPerkForest04,progression,Attribute,,{cvar(TimerForest_HH:0)} of 6,{cvar(TimerForest_HH:0)} di 6
reqPerkForest05,progression,Attribute,,{cvar(TimerForest_HH:0)} of 8,{cvar(TimerForest_HH:0)} di 8
reqPerkForest06,progression,Attribute,,{cvar(TimerForest_HH:0)} of 10,{cvar(TimerForest_HH:0)} di 10
reqPerkForest07,progression,Attribute,,{cvar(TimerForest_HH:0)} of 12,{cvar(TimerForest_HH:0)} di 12
reqPerkForest08,progression,Attribute,,{cvar(TimerForest_HH:0)} of 16,{cvar(TimerForest_HH:0)} di 16
reqPerkForest09,progression,Attribute,,{cvar(TimerForest_HH:0)} of 20,{cvar(TimerForest_HH:0)} di 20
reqPerkForest10,progression,Attribute,,{cvar(TimerForest_HH:0)} of 25,{cvar(TimerForest_HH:0)} di 25
perkForestTimerRank1Desc,progression,Skills,,Survive in the forest for 1 hour,Sopravvivi nella foresta per 1 ora
perkForestTimerRank1LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]1%[-], Wood production increased by [DECEA3]3%[-], Clay production increased by [DECEA3]3%[-], Damage to all zombies increased by [DECEA3]3%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]1%[-], la produzione di legno è aumentata del [DECEA3]3%[-], la produzione di argilla è aumentata del [DECEA3]3%[-], i danni a tutti gli zombi sono aumentati del [DECEA3]3%[-]"
perkForestTimerRank2Desc,progression,Skills,,Survive in the forest for 2 hours,Sopravvivi nella foresta per 2 ore
perkForestTimerRank2LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]2%[-], Wood production increased by [DECEA3]6%[-], Clay production increased by [DECEA3]6%[-], Damage to all zombies increased by [DECEA3]6%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]2%[-], la produzione di legno è aumentata del [DECEA3]6%[-], la produzione di argilla è aumentata del [DECEA3]6%[-], i danni a tutti gli zombi sono aumentati del [DECEA3]6%[-]"
perkForestTimerRank3Desc,progression,Skills,,Survive in the forest for 4 hours,Sopravvivi nella foresta per 4 ore
perkForestTimerRank3LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]3%[-], Wood production increased by [DECEA3]9%[-], Clay production increased by [DECEA3]9%[-], Damage to all zombies increased by [DECEA3]9%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]3%[-], la produzione di legno è aumentata del [DECEA3]9%[-], la produzione di argilla è aumentata del [DECEA3]9%[-], i danni a tutti gli zombi sono aumentati del [DECEA3]9%[-]"
perkForestTimerRank4Desc,progression,Skills,,Survive in the forest for 6 hours,Sopravvivi nella foresta per 6 ore
perkForestTimerRank4LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]4%[-], Wood production increased by [DECEA3]12%[-], Clay production increased by [DECEA3]12%[-], Damage to all zombies increased by [DECEA3]12%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]4%[-], la produzione di legno è aumentata del [DECEA3]12%[-], la produzione di argilla è aumentata del [DECEA3]12%[-], i danni a tutti gli zombi sono aumentati del [DECEA3]12%[-]"
perkForestTimerRank5Desc,progression,Skills,,Survive in the forest for 8 hours,Sopravvivi nella foresta per 8 ore
perkForestTimerRank5LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]5%[-], Wood production increased by [DECEA3]15%[-], Clay production increased by [DECEA3]15%[-], Damage to all zombies increased by [DECEA3]15%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]5%[-], la produzione di legno è aumentata del [DECEA3]15%[-], la produzione di argilla è aumentata del [DECEA3]15%[-], il danno a tutti gli zombi è aumentato del [DECEA3]15%[-]"
perkForestTimerRank6Desc,progression,Skills,,Survive in the forest for 10 hours,Sopravvivi nella foresta per 10 ore
perkForestTimerRank6LongDesc,progression,Skills,,"[DECEA3]FOREST BONUSES:[-]\nExperience gained in the forest increased by [DECEA3]6%[-], Wood production increased by [DECEA3]18%[-], Clay production increased by [DECEA3]18%[-], Damage to all zombies increased by [DECEA3]18%[-]","[DECEA3]BONUS FORESTA:[-]\nL'esperienza acquisita nella foresta è aumentata del [DECEA3]6%[-], la produzione di legno è aumentata del [DECEA3]18%[-], la produzione di argilla è aumentata del [DECEA3]18%[-], i danni a tutti gli zombi sono aumentati del [DECEA3]18%[-]"
perkForestTimerRank7Desc,progression,Skills,,Survive in the forest for 12 hours,Sopravvivi nella foresta per 12 ore
